CYCLES;0xE1;0xE2;0xE7;0xE0;0x17;Ox12
4595376;458;41;197748;191009;4;690811 
4595489;578;35;197718;191201;6;690811 
4595386;346;196;197798;190860;6;690808 
4594982;385;48;197733;190770;7;690808 
4594840;399;26;197662;190790;4;690810 
4595476;420;17;197785;190922;5;690807 
4594845;283;9;197541;190765;5;690806 
4594926;225;9;197691;190760;4;690806 
4595390;279;16;197822;190922;5;690807 
4595299;382;22;197968;190916;5;690810 
4596586;287;23;199014;190981;9;690809 
4595259;419;48;197742;190849;6;690808 
4595403;508;38;197945;190882;6;690811 
4595242;277;54;197908;190845;8;690810 
4595079;403;36;197841;190859;6;690811 
4595154;317;47;197805;190878;5;690810 
4595496;584;30;197845;190899;8;690810 
4595134;455;45;197757;190746;8;690808 
4594644;315;24;197719;190709;5;690808 
4595132;322;12;197607;190874;5;690808 
4594706;274;17;197664;190690;4;690807 
4596775;366;9;199439;190746;10;690806 
4595144;376;8;197694;190784;6;690806 
4594929;290;22;197869;190684;5;690807 
4595593;353;30;198046;191014;5;690810 
4595957;551;199;198276;190833;23;690809 
4595352;294;24;197924;190842;5;690808 
4596282;882;196;198067;190984;10;690810 
4595817;452;27;198059;191223;5;690811 
4595705;607;26;197967;190914;6;690812 
4595715;306;27;198260;190925;6;690810 
4595025;455;47;197775;190746;8;690809 
4595789;630;29;197653;191112;5;690809 
4597231;2285;47;197798;190991;6;690808 
4595035;306;16;197746;190821;6;690807 
4595205;394;8;197857;190730;10;690806 
4595332;311;18;197956;190834;7;690807 
4595163;282;9;197693;190817;5;690806 
4595421;351;29;197931;190886;6;690809 
4595938;637;32;197967;191000;7;690810 
4595507;389;26;198016;190945;7;690811 
4595376;300;21;197909;190881;5;690809 
4595686;494;63;197941;190960;10;690811 
4595636;372;40;198028;191024;7;690811 
4595304;611;30;198098;190721;8;690813 
4595037;460;27;197618;190755;7;690808 
4595107;353;17;197571;190922;4;690808 
4595212;561;30;197838;190754;7;690810 
4594890;348;29;197801;190760;6;690809 
4595194;274;8;197693;190843;10;690806 
4595155;205;9;197842;190792;6;690806 
4594917;354;17;197608;190764;4;690807 
4595160;359;13;197780;190797;6;690807 
4595114;323;53;197607;190883;3;690810 
4595215;330;58;197796;190909;4;690810 
4595610;444;27;197991;190952;7;690811 
4595684;487;35;198026;191042;6;690812 
4595550;326;49;197949;191032;7;690813 
4596673;388;39;197981;192084;7;690812 
4595410;439;44;197887;190997;6;690813 
4595089;424;29;198067;190663;7;690809 
4596873;488;196;198884;191007;9;690810 
4594616;285;44;197587;190669;4;690809 
4595189;456;16;197818;190753;9;690807 
4594884;216;8;197692;190757;4;690806 
4594888;192;9;197700;190757;6;690806 
4594715;314;8;197718;190648;6;690806 
4595364;360;26;197957;190847;6;690809 
4595162;261;22;197778;190865;5;690810 
4595504;600;48;197797;190856;6;690808 
4595502;264;26;197916;191027;8;690811 
4595959;478;62;198178;191042;8;690811 
4594749;315;42;197636;190778;3;690813 
