CYCLES;0xE1;0xE2;0xE7;0xE0;0x17;Ox12
4595114;380;26;197611;190905;4;690808 
4595195;342;26;197798;190855;5;690809 
4595148;390;51;197807;190818;4;690809 
4595076;205;10;197692;190838;5;690806 
4596251;349;5;198795;190797;15;690806 
4595101;245;16;197780;190838;10;690807 
4595410;367;29;197912;190982;5;690809 
4595841;580;36;198237;190804;11;690809 
4595015;261;33;197800;190791;5;690809 
4595336;309;24;197972;190883;6;690809 
4595696;683;39;197929;190963;6;690812 
4595078;285;44;197774;190829;4;690810 
4595190;393;36;197661;190943;4;690812 
4595291;336;25;197975;190918;5;690809 
4595290;318;36;197758;190950;7;690808 
4595140;342;32;197769;190888;13;690808 
4596167;474;28;197896;191439;9;690808 
4595283;473;21;197800;190811;6;690807 
4594855;239;9;197705;190743;8;690806 
4595179;256;9;197693;190855;4;690806 
4595359;416;16;197755;190857;6;690807 
4596075;949;30;197838;190981;5;690810 
4595202;334;31;197767;190813;6;690808 
4595244;436;22;197917;190799;7;690809 
4595244;349;38;197788;190908;6;690810 
4595875;453;60;197881;191229;7;690813 
4595507;497;37;197652;191028;6;690810 
4595615;451;25;197783;191033;6;690810 
4595361;544;48;197818;190802;5;690809 
4595730;454;49;198078;190904;16;690809 
4595766;416;201;198007;190889;8;690809 
4595450;421;26;198008;190909;6;690811 
4595919;712;216;198506;190840;16;690813 
4595991;331;66;198209;191074;13;690811 
4596629;347;31;199216;190909;10;690812 
4595524;470;35;197930;190980;4;690813 
4595613;478;37;197970;191002;7;690813 
4595045;330;25;197732;190798;7;690808 
4596132;300;54;197891;191844;4;690810 
4595324;323;21;197844;190995;6;690809 
4596223;1297;17;197893;190787;17;690807 
4595089;418;9;197541;190807;4;690806 
4595138;662;16;197751;190699;15;690807 
4595293;425;12;197653;190897;5;690807 
4595181;488;17;197758;190759;5;690807 
4595052;297;49;197905;190731;8;690808 
4595748;332;32;198194;190961;14;690811 
4595358;321;27;197827;190930;5;690809 
4596139;369;52;198898;190924;7;690812 
4595116;334;36;197793;190878;4;690810 
4595746;541;213;198035;190935;8;690813 
4595281;516;31;197842;190830;14;690809 
4595315;435;32;197791;190845;5;690808 
4595037;284;48;197730;190780;5;690809 
4595044;429;31;197710;190778;5;690809 
4595011;374;16;197595;190806;4;690807 
4594855;222;9;197541;190784;3;690806 
4595636;812;9;197692;190817;7;690806 
4595634;314;22;198256;190880;8;690808 
4595334;414;39;197940;190826;5;690810 
4596659;429;22;199066;190892;7;690808 
4596368;295;45;198717;190969;7;690809 
4595578;326;39;198076;190963;6;690811 
4595567;311;43;198438;190835;5;690813 
4595151;495;44;197656;190944;5;690811 
4595181;302;25;197764;190925;6;690809 
4596461;511;51;198852;190929;10;690809 
4595190;478;34;197733;190829;7;690808 
4596762;450;21;199475;190752;8;690808 
4594966;219;9;197693;190776;6;690806 
4594772;430;13;197769;190644;7;690807 
4595173;359;9;197569;190847;7;690806 
4597315;2226;8;197857;190838;14;690806 
4595427;365;39;197894;190867;9;690808 
4595437;524;30;197860;190942;6;690811 
4595295;468;22;197743;190854;7;690808 
4595514;328;47;197894;190971;9;690810 
4595235;483;43;198008;190784;7;690814 
4595554;729;67;197749;190957;5;690812 
4595382;504;50;197804;190896;6;690811 
4595089;308;21;197752;190827;7;690809 
4595410;349;52;197979;190859;6;690809 
4595382;419;26;197597;191097;8;690809 
4594809;207;9;197540;190772;3;690806 
